iter	Passed	Remaining
1526	122706	391583
1527	122788	391507
1528	122859	391399
1529	122934	391300
1530	123013	391218
1531	123088	391120
1532	123166	391031
1533	123243	390941
1534	123324	390861
1535	123394	390749
1536	123473	390666
1537	123553	390584
1538	123632	390498
1539	123705	390393
1540	123785	390313
1541	123859	390213
1542	123939	390131
1543	124014	390034
1544	124097	389963
1545	124175	389875
1546	124247	389769
1547	124326	389683
1548	124406	389604
1549	124477	389494
1550	124554	389402
1551	124629	389306
1552	124706	389214
1553	124786	389133
1554	124866	389054
1555	124939	388952
1556	125019	388867
1557	125096	388778
1558	125178	388703
1559	125256	388617
1560	125338	388541
1561	125416	388454
1562	125497	388377
1563	125574	388286
1564	125651	388194
1565	125722	388086
1566	125802	388005
1567	125880	387916
1568	125957	387825
1569	126038	387748
1570	126118	387667
1571	126198	387587
1572	126276	387498
1573	126357	387422
1574	126447	387370
1575	126527	387288
1576	126608	387211
1577	126691	387139
1578	126763	387033
1579	126841	386947
1580	126922	386869
1581	126996	386769
1582	127071	386674
1583	127146	386577
1584	127228	386500
1585	127304	386407
1586	127384	386328
1587	127463	386242
1588	127543	386160
1589	127658	386187
1590	127737	386102
1591	127813	386008
1592	127893	385927
1593	127971	385841
1594	128042	385732
1595	128122	385652
1596	128202	385569
1597	128284	385496
1598	128364	385413
1599	128436	385310
1600	128517	385231
1601	128596	385148
1602	128670	385047
1603	128748	384960
1604	128829	384882
1605	128901	384778
1606	128981	384696
1607	129064	384626
1608	129137	384521
1609	129213	384430
1610	129288	384335
1611	129370	384257
1612	129451	384180
1613	129527	384088
1614	129612	384021
1615	129694	383946
1616	129768	383849
1617	129850	383772
1618	129932	383697
1619	130010	383609
1620	130088	383523
1621	130168	383443
1622	130290	383484
1623	130368	383400
1624	130443	383304
1625	130539	383268
1626	130616	383178
1627	130697	383100
1628	130775	383014
1629	130853	382925
1630	130927	382828
1631	131008	382751
1632	131086	382663
1633	131164	382577
1634	131237	382475
1635	131319	382400
1636	131404	382333
1637	131479	382239
1638	131563	382168
1639	131644	382089
1640	131727	382016
1641	131810	381945
1642	131886	381853
1643	131979	381809
1644	132061	381732
1645	132140	381649
1646	132224	381579
1647	132294	381471
1648	132379	381403
1649	132454	381309
1650	132532	381222
